model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
GLMNET,warning_ammonia_toxicity,1.0,BAC_G::Keratinibaculum,Bacteria,0.05451839826839826,0.12190684455254533,5,5,1,1,1,123.3,0.02024284053400619,0.2,0.2
GLMNET,warning_ammonia_toxicity,2.0,BAC_G::W5053,Bacteria,0.042706955514385844,0.06093692231341602,5,5,3,3,3,60.6,0.015166306455995367,0.6,0.6
GLMNET,warning_ammonia_toxicity,3.0,ARC_G::Methanimicrococcus,Archaea,0.039679986679986665,0.08872714756273638,5,5,1,1,1,122.3,0.019481400558503927,0.2,0.2
GLMNET,warning_ammonia_toxicity,4.0,substrate_avg_VS,Metadata: substrate,0.029076584727671682,0.05289324377050249,5,5,2,2,2,139.2,0.017268103029752034,0.4,0.4
GLMNET,warning_ammonia_toxicity,5.0,BAC_G::Anaerovorax,Bacteria,0.020226659451659457,0.027457223620532958,5,5,3,3,3,62.4,0.0129720387227862,0.6,0.6
GLMNET,warning_ammonia_toxicity,6.0,BAC_G::Acholeplasma,Bacteria,0.01986332588979648,0.027280994820618916,5,5,3,3,3,87.3,0.01196104652843005,0.6,0.6
GLMNET,warning_ammonia_toxicity,7.0,substrate_avg_Lipid,Metadata: substrate,0.017793458980533288,0.01900650990675473,5,5,4,4,4,33.8,0.014631628431842583,0.8,0.8
GLMNET,warning_ammonia_toxicity,8.0,BAC_G::Fermentimonas,Bacteria,0.01743657747481278,0.025127870440092535,5,5,4,3,3,37.6,0.00829502068070791,0.6,0.8
GLMNET,warning_ammonia_toxicity,9.0,BAC_G::HN-HF0106,Bacteria,0.01732462537462537,0.030985880644079207,5,5,2,2,2,91.9,0.007779392969040663,0.4,0.4
GLMNET,warning_ammonia_toxicity,10.0,BAC_G::Bacteroidales_UCG-001,Bacteria,0.016170884670884667,0.03598029293640045,5,5,2,1,1,94.8,0.011709122059854289,0.2,0.4
GLMNET,warning_ammonia_toxicity,11.0,substrate_avg_sCOD,Metadata: substrate,0.015969499669577066,0.019729459296786545,5,5,4,3,4,59.8,0.012688826466822938,0.6,0.8
GLMNET,warning_ammonia_toxicity,12.0,substrate_avg_Protein,Metadata: substrate,0.015601254894056758,0.010294410640545627,5,5,5,3,5,8.4,0.015220738192956749,0.6,1.0
GLMNET,warning_ammonia_toxicity,13.0,BAC_G::Anaerofustis,Bacteria,0.013215909090909094,0.029551671111730182,5,5,1,1,1,121.7,0.006669548540566371,0.2,0.2
GLMNET,warning_ammonia_toxicity,14.0,BAC_P::Firmicutes,Bacteria,0.011529608463431998,0.01700980139001545,5,5,2,1,2,90.2,0.004576826713080309,0.2,0.4
GLMNET,warning_ammonia_toxicity,15.0,BAC_G::Lactobacillus,Bacteria,0.011140056022408964,0.024909922539262365,5,5,1,1,1,121.9,0.014022221502385796,0.2,0.2
GLMNET,warning_ammonia_toxicity,16.0,BAC_G::W27,Bacteria,0.009954488307816483,0.02150472468606752,5,5,2,1,1,98.5,0.003127859809676531,0.2,0.4
GLMNET,warning_ammonia_toxicity,17.0,BAC_G::Streptococcus,Bacteria,0.008605555555555556,0.01341123653628178,5,5,3,2,2,72.0,0.0067366106491559925,0.4,0.6
GLMNET,warning_ammonia_toxicity,18.0,BAC_G::Atopobium,Bacteria,0.008167717086834735,0.018263570627149023,5,5,1,1,1,122.1,0.011604170780692116,0.2,0.2
GLMNET,warning_ammonia_toxicity,19.0,BAC_G::Ruminiclostridium,Bacteria,0.00798968161468162,0.017865471209008384,5,5,1,1,1,121.1,0.003072892139638061,0.2,0.2
GLMNET,warning_ammonia_toxicity,20.0,BAC_G::Syntrophomonas,Bacteria,0.0075551716801716875,0.010855876859172005,5,5,2,1,1,92.4,0.00497351300867889,0.2,0.4
GLMNET,warning_ammonia_toxicity,21.0,BAC_G::Aminobacterium,Bacteria,0.006610769785769796,0.010973043390045989,5,5,2,1,1,119.1,0.006862816477754915,0.2,0.4
GLMNET,warning_ammonia_toxicity,22.0,ARC_G::Candidatus_Methanofastidiosum,Archaea,0.006346338846338849,0.008761382472815738,5,5,3,0,3,65.2,0.0036807006084757176,0.0,0.6
GLMNET,warning_ammonia_toxicity,22.0,ARC_P::Euryarchaeota,Archaea,0.006346338846338849,0.008761382472815738,5,5,3,0,3,65.2,0.0036807006084757176,0.0,0.6
GLMNET,warning_ammonia_toxicity,24.0,BAC_P::unidentified,Bacteria,0.005095876832718941,0.008992150317626114,5,5,2,0,1,98.2,0.0036927380640626424,0.0,0.4
GLMNET,warning_ammonia_toxicity,25.0,ARC_G::Methanogenium,Archaea,0.005033688533688544,0.007954258601310403,5,5,2,0,1,93.4,0.006929157531424429,0.0,0.4
GLMNET,warning_ammonia_toxicity,26.0,substrate_avg_HAc,Metadata: substrate,0.0050321345321345376,0.00751905128136168,5,5,3,1,2,68.8,0.004840777499895781,0.2,0.6
GLMNET,warning_ammonia_toxicity,27.0,substrate_avg_TC,Metadata: substrate,0.004707338957338962,0.009386355789160843,5,5,2,1,1,94.4,0.0020531493043742213,0.2,0.4
GLMNET,warning_ammonia_toxicity,28.0,substrate_avg_pH,Metadata: substrate,0.004382950382950386,0.008440541776953654,5,5,2,0,1,94.6,0.0019249196752298698,0.0,0.4
GLMNET,warning_ammonia_toxicity,29.0,ARC_G::Methanosarcina,Archaea,0.004290043290043297,0.007863049787291335,5,5,2,0,2,93.9,0.0032975559650516816,0.0,0.4
GLMNET,warning_ammonia_toxicity,30.0,ARC_G::Methanoculleus,Archaea,0.00414680227180227,0.005690654063544864,5,5,3,1,2,72.3,0.0038088306681871658,0.2,0.6
GLMNET,warning_ammonia_toxicity,31.0,ARC_P::Halobacterota,Archaea,0.0040303030303030325,0.006676434908038627,5,5,2,1,2,93.9,0.00334007708608495,0.2,0.4
GLMNET,warning_ammonia_toxicity,32.0,substrate_avg_TVFAs,Metadata: substrate,0.0038051948051948123,0.0061100411179036045,5,5,2,0,1,95.6,0.004268488285233537,0.0,0.4
GLMNET,warning_ammonia_toxicity,33.0,ARC_G::Methanosaeta,Archaea,0.0035600556850556866,0.00510857630870768,5,5,2,0,0,97.4,0.003306538882510912,0.0,0.4
GLMNET,warning_ammonia_toxicity,34.0,Season,Metadata: operation/context,0.003534137159137156,0.008954863851806468,5,5,2,0,2,119.8,0.009228365846820399,0.0,0.4
GLMNET,warning_ammonia_toxicity,35.0,BAC_G::MBA03,Bacteria,0.0034077311577311665,0.004762984077260536,5,5,2,0,0,97.2,0.0031056156443275097,0.0,0.4
GLMNET,warning_ammonia_toxicity,36.0,BAC_G::Alkaliphilus,Bacteria,0.0034055759055759047,0.007615099227403128,5,5,1,0,1,122.3,0.0016366628259080486,0.0,0.2
GLMNET,warning_ammonia_toxicity,37.0,BAC_G::Guggenheimella,Bacteria,0.0033003154253154207,0.003947852779137639,5,5,3,0,2,73.0,0.004820542463455983,0.0,0.6
GLMNET,warning_ammonia_toxicity,38.0,BAC_G::Caldicoprobacter,Bacteria,0.003147358197358202,0.00838192811161007,5,5,2,0,1,120.0,0.0041008413450568555,0.0,0.4
