model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
KNN,warning_buffer_capacity,1.0,BAC_G::Pseudomonas,Bacteria,0.05271491228070176,0.11787412728758762,5,5,1,1,1,111.4,0.0330312093630339,0.2,0.2
KNN,warning_buffer_capacity,2.0,HRT_d,Metadata: operation/context,0.023771708683473395,0.05336091498270315,5,5,1,1,1,135.1,0.012397344855396775,0.2,0.2
KNN,warning_buffer_capacity,3.0,ARC_G::unidentified,Archaea,0.019426989747961615,0.04365694526780672,5,5,2,1,2,112.0,0.01140763919298329,0.2,0.4
KNN,warning_buffer_capacity,4.0,BAC_G::ADurb.Bin063-1,Bacteria,0.017083333333333332,0.0381994946156214,5,5,1,1,1,112.0,0.005040044323577496,0.2,0.2
KNN,warning_buffer_capacity,5.0,ARC_P::Thermoplasmatota,Archaea,0.015865325077399378,0.034008493274158176,5,5,2,2,2,83.6,0.004813017931419101,0.4,0.4
KNN,warning_buffer_capacity,6.0,BAC_P::Verrucomicrobiota,Bacteria,0.01583333333333333,0.035404409643746665,5,5,1,1,1,112.2,0.0037267799624996476,0.2,0.2
KNN,warning_buffer_capacity,7.0,BAC_G::Bacteroidetes_vadinHA17,Bacteria,0.015555555555555553,0.033252216114767585,5,5,2,2,2,83.8,0.0053693346026038894,0.4,0.4
KNN,warning_buffer_capacity,8.0,ARC_G::Methanosaeta,Archaea,0.01494281045751634,0.03241771487551887,5,5,2,1,2,86.3,0.008388153620426057,0.2,0.4
KNN,warning_buffer_capacity,9.0,ARC_G::Methanolinea,Archaea,0.014720496894409935,0.03370269983828891,5,5,1,1,1,138.7,0.00637986764846913,0.2,0.2
KNN,warning_buffer_capacity,10.0,ARC_G::Methanospirillum,Archaea,0.014195363071591369,0.03426634580065233,5,5,2,1,1,115.1,0.01577297857280595,0.2,0.4
KNN,warning_buffer_capacity,11.0,BAC_P::Proteobacteria,Bacteria,0.013692810457516339,0.029623511559179524,5,5,2,0,2,86.9,0.007173462076341576,0.0,0.4
KNN,warning_buffer_capacity,12.0,BAC_G::Dechloromonas,Bacteria,0.013088235294117645,0.027651360741653412,5,5,2,1,2,84.6,0.007605533197887702,0.2,0.4
KNN,warning_buffer_capacity,13.0,substrate_avg_TC,Metadata: substrate,0.012516339869281043,0.027941737849346587,5,5,2,0,1,90.9,0.007879712396349527,0.0,0.4
KNN,warning_buffer_capacity,14.0,BAC_P::Caldatribacteriota,Bacteria,0.011500000000000002,0.025714781741247587,5,5,1,0,1,114.4,0.009821506417250544,0.0,0.2
KNN,warning_buffer_capacity,15.0,BAC_P::Desulfobacterota,Bacteria,0.010977932979211747,0.03449331985715359,5,5,2,1,2,113.9,0.00981032536200814,0.2,0.4
KNN,warning_buffer_capacity,16.0,ARC_G::Methanoculleus,Archaea,0.01083333333333333,0.024224069756247715,5,5,1,0,1,114.8,0.008156008082159879,0.0,0.2
KNN,warning_buffer_capacity,16.0,T_C,Metadata: operation/context,0.01083333333333333,0.024224069756247715,5,5,1,0,1,114.8,0.00815600808215988,0.0,0.2
KNN,warning_buffer_capacity,18.0,ARC_P::Halobacterota,Archaea,0.010416666666666666,0.023292374765622806,5,5,1,0,1,115.2,0.008916031293971982,0.0,0.2
KNN,warning_buffer_capacity,19.0,BAC_P::Bacteroidota,Bacteria,0.010228758169934639,0.02223831597161064,5,5,2,0,0,90.0,0.008696921620036258,0.0,0.4
KNN,warning_buffer_capacity,20.0,BAC_G::Smithella,Bacteria,0.009640140337071279,0.03601351996258366,5,5,2,1,2,114.5,0.009367809460906327,0.2,0.4
